"Date","Year","Month","variable","value","scenario","method"
2037-08-01,2037,8,"tavg",26.632708014284,"SSP1-2.6 (Sustainability)","Statistical"
2037-09-01,2037,9,"tavg",25.3619841207406,"SSP1-2.6 (Sustainability)","Statistical"
2037-10-01,2037,10,"tavg",24.7619561949861,"SSP1-2.6 (Sustainability)","Statistical"
2037-11-01,2037,11,"tavg",23.0315303423758,"SSP1-2.6 (Sustainability)","Statistical"
2037-12-01,2037,12,"tavg",22.541585745663,"SSP1-2.6 (Sustainability)","Statistical"
2038-01-01,2038,1,"tavg",23.3680099511939,"SSP1-2.6 (Sustainability)","Statistical"
2038-02-01,2038,2,"tavg",24.3292281191193,"SSP1-2.6 (Sustainability)","Statistical"
2038-03-01,2038,3,"tavg",25.5982115838619,"SSP1-2.6 (Sustainability)","Statistical"
2038-04-01,2038,4,"tavg",27.1782053341288,"SSP1-2.6 (Sustainability)","Statistical"
2038-05-01,2038,5,"tavg",28.4766086151116,"SSP1-2.6 (Sustainability)","Statistical"
2038-06-01,2038,6,"tavg",28.4496190103935,"SSP1-2.6 (Sustainability)","Statistical"
2038-07-01,2038,7,"tavg",27.8821385816053,"SSP1-2.6 (Sustainability)","Statistical"
2038-08-01,2038,8,"tavg",26.7652006816924,"SSP1-2.6 (Sustainability)","Statistical"
2038-09-01,2038,9,"tavg",27.3467050382056,"SSP1-2.6 (Sustainability)","Statistical"
2038-10-01,2038,10,"tavg",24.6856575275687,"SSP1-2.6 (Sustainability)","Statistical"
2038-11-01,2038,11,"tavg",23.7569963804226,"SSP1-2.6 (Sustainability)","Statistical"
2038-12-01,2038,12,"tavg",23.1447479875872,"SSP1-2.6 (Sustainability)","Statistical"
2039-01-01,2039,1,"tavg",23.8817992818292,"SSP1-2.6 (Sustainability)","Statistical"
2039-02-01,2039,2,"tavg",25.1477980919721,"SSP1-2.6 (Sustainability)","Statistical"
2039-03-01,2039,3,"tavg",26.6195367362452,"SSP1-2.6 (Sustainability)","Statistical"
2039-04-01,2039,4,"tavg",27.1505795438703,"SSP1-2.6 (Sustainability)","Statistical"
2039-05-01,2039,5,"tavg",28.3633667447375,"SSP1-2.6 (Sustainability)","Statistical"
2039-06-01,2039,6,"tavg",29.298705998881,"SSP1-2.6 (Sustainability)","Statistical"
2039-07-01,2039,7,"tavg",27.9579969857418,"SSP1-2.6 (Sustainability)","Statistical"
2039-08-01,2039,8,"tavg",26.9441648135967,"SSP1-2.6 (Sustainability)","Statistical"
2039-09-01,2039,9,"tavg",25.4512987944434,"SSP1-2.6 (Sustainability)","Statistical"
2039-10-01,2039,10,"tavg",25.4356698674751,"SSP1-2.6 (Sustainability)","Statistical"
2039-11-01,2039,11,"tavg",23.6321264335861,"SSP1-2.6 (Sustainability)","Statistical"
2039-12-01,2039,12,"tavg",23.3214798894582,"SSP1-2.6 (Sustainability)","Statistical"
2040-01-01,2040,1,"tavg",23.0257057304381,"SSP1-2.6 (Sustainability)","Statistical"
2040-02-01,2040,2,"tavg",24.6780892765908,"SSP1-2.6 (Sustainability)","Statistical"
2040-03-01,2040,3,"tavg",27.2239263367207,"SSP1-2.6 (Sustainability)","Statistical"
2040-04-01,2040,4,"tavg",26.1736405596555,"SSP1-2.6 (Sustainability)","Statistical"
2040-05-01,2040,5,"tavg",28.6301529610676,"SSP1-2.6 (Sustainability)","Statistical"
2040-06-01,2040,6,"tavg",28.2005702604234,"SSP1-2.6 (Sustainability)","Statistical"
2040-07-01,2040,7,"tavg",28.1788171562917,"SSP1-2.6 (Sustainability)","Statistical"
2040-08-01,2040,8,"tavg",27.8449906349149,"SSP1-2.6 (Sustainability)","Statistical"
2040-09-01,2040,9,"tavg",25.5594257224971,"SSP1-2.6 (Sustainability)","Statistical"
2040-10-01,2040,10,"tavg",23.2382485670538,"SSP1-2.6 (Sustainability)","Statistical"
2040-11-01,2040,11,"tavg",23.8653270050618,"SSP1-2.6 (Sustainability)","Statistical"
2040-12-01,2040,12,"tavg",22.5793581487125,"SSP1-2.6 (Sustainability)","Statistical"
2041-01-01,2041,1,"tavg",24.0781838467373,"SSP1-2.6 (Sustainability)","Statistical"
2041-02-01,2041,2,"tavg",24.4573939910386,"SSP1-2.6 (Sustainability)","Statistical"
2041-03-01,2041,3,"tavg",26.1992996723661,"SSP1-2.6 (Sustainability)","Statistical"
2041-04-01,2041,4,"tavg",26.5693569733915,"SSP1-2.6 (Sustainability)","Statistical"
2041-05-01,2041,5,"tavg",29.4043345082056,"SSP1-2.6 (Sustainability)","Statistical"
2041-06-01,2041,6,"tavg",29.5753551730212,"SSP1-2.6 (Sustainability)","Statistical"
2041-07-01,2041,7,"tavg",28.9444773234513,"SSP1-2.6 (Sustainability)","Statistical"
2041-08-01,2041,8,"tavg",28.1845933412166,"SSP1-2.6 (Sustainability)","Statistical"
2041-09-01,2041,9,"tavg",25.8990908390588,"SSP1-2.6 (Sustainability)","Statistical"
2041-10-01,2041,10,"tavg",24.7445607491724,"SSP1-2.6 (Sustainability)","Statistical"
2041-11-01,2041,11,"tavg",23.9057684285066,"SSP1-2.6 (Sustainability)","Statistical"
2041-12-01,2041,12,"tavg",22.4687579530863,"SSP1-2.6 (Sustainability)","Statistical"
2042-01-01,2042,1,"tavg",23.2145694932594,"SSP1-2.6 (Sustainability)","Statistical"
2042-02-01,2042,2,"tavg",24.9293026091842,"SSP1-2.6 (Sustainability)","Statistical"
2042-03-01,2042,3,"tavg",26.362405938103,"SSP1-2.6 (Sustainability)","Statistical"
2042-04-01,2042,4,"tavg",27.6463372826912,"SSP1-2.6 (Sustainability)","Statistical"
2042-05-01,2042,5,"tavg",28.836247722987,"SSP1-2.6 (Sustainability)","Statistical"
2042-06-01,2042,6,"tavg",28.8964262187774,"SSP1-2.6 (Sustainability)","Statistical"
2042-07-01,2042,7,"tavg",29.0222323118846,"SSP1-2.6 (Sustainability)","Statistical"
2042-08-01,2042,8,"tavg",26.6810459923629,"SSP1-2.6 (Sustainability)","Statistical"
2042-09-01,2042,9,"tavg",26.0857857541805,"SSP1-2.6 (Sustainability)","Statistical"
2042-10-01,2042,10,"tavg",24.2972261989226,"SSP1-2.6 (Sustainability)","Statistical"
2042-11-01,2042,11,"tavg",23.3267902993143,"SSP1-2.6 (Sustainability)","Statistical"
2042-12-01,2042,12,"tavg",22.8736311936574,"SSP1-2.6 (Sustainability)","Statistical"
2043-01-01,2043,1,"tavg",23.916709483909,"SSP1-2.6 (Sustainability)","Statistical"
2043-02-01,2043,2,"tavg",24.8954429381544,"SSP1-2.6 (Sustainability)","Statistical"
2043-03-01,2043,3,"tavg",26.7811265602982,"SSP1-2.6 (Sustainability)","Statistical"
2043-04-01,2043,4,"tavg",26.763954954116,"SSP1-2.6 (Sustainability)","Statistical"
2043-05-01,2043,5,"tavg",28.9655669864656,"SSP1-2.6 (Sustainability)","Statistical"
2043-06-01,2043,6,"tavg",28.679108851741,"SSP1-2.6 (Sustainability)","Statistical"
2043-07-01,2043,7,"tavg",28.8017324571764,"SSP1-2.6 (Sustainability)","Statistical"
2043-08-01,2043,8,"tavg",27.2292127398568,"SSP1-2.6 (Sustainability)","Statistical"
2043-09-01,2043,9,"tavg",26.2197529212036,"SSP1-2.6 (Sustainability)","Statistical"
2043-10-01,2043,10,"tavg",24.7024977000065,"SSP1-2.6 (Sustainability)","Statistical"
2043-11-01,2043,11,"tavg",23.8467931002483,"SSP1-2.6 (Sustainability)","Statistical"
2043-12-01,2043,12,"tavg",22.9670432427782,"SSP1-2.6 (Sustainability)","Statistical"
2044-01-01,2044,1,"tavg",24.1303288085453,"SSP1-2.6 (Sustainability)","Statistical"
2044-02-01,2044,2,"tavg",25.0785805475139,"SSP1-2.6 (Sustainability)","Statistical"
2044-03-01,2044,3,"tavg",25.3305967182145,"SSP1-2.6 (Sustainability)","Statistical"
2044-04-01,2044,4,"tavg",27.136847403047,"SSP1-2.6 (Sustainability)","Statistical"
2044-05-01,2044,5,"tavg",29.6316355944808,"SSP1-2.6 (Sustainability)","Statistical"
2044-06-01,2044,6,"tavg",28.3176481000856,"SSP1-2.6 (Sustainability)","Statistical"
2044-07-01,2044,7,"tavg",28.8518556355652,"SSP1-2.6 (Sustainability)","Statistical"
2044-08-01,2044,8,"tavg",27.276558278147,"SSP1-2.6 (Sustainability)","Statistical"
2044-09-01,2044,9,"tavg",25.4236065838009,"SSP1-2.6 (Sustainability)","Statistical"
2044-10-01,2044,10,"tavg",25.1218934720327,"SSP1-2.6 (Sustainability)","Statistical"
2044-11-01,2044,11,"tavg",24.110903116177,"SSP1-2.6 (Sustainability)","Statistical"
2044-12-01,2044,12,"tavg",23.0876444031996,"SSP1-2.6 (Sustainability)","Statistical"
2045-01-01,2045,1,"tavg",24.0188489190981,"SSP1-2.6 (Sustainability)","Statistical"
2045-02-01,2045,2,"tavg",25.4527662541526,"SSP1-2.6 (Sustainability)","Statistical"
2045-03-01,2045,3,"tavg",24.680945941992,"SSP1-2.6 (Sustainability)","Statistical"
2045-04-01,2045,4,"tavg",27.70516015731,"SSP1-2.6 (Sustainability)","Statistical"
2045-05-01,2045,5,"tavg",29.0476812208783,"SSP1-2.6 (Sustainability)","Statistical"
2045-06-01,2045,6,"tavg",28.8051821732816,"SSP1-2.6 (Sustainability)","Statistical"
2045-07-01,2045,7,"tavg",29.075533239575,"SSP1-2.6 (Sustainability)","Statistical"
2045-08-01,2045,8,"tavg",27.9517093297363,"SSP1-2.6 (Sustainability)","Statistical"
2045-09-01,2045,9,"tavg",26.3035849716156,"SSP1-2.6 (Sustainability)","Statistical"
2045-10-01,2045,10,"tavg",25.4727200009985,"SSP1-2.6 (Sustainability)","Statistical"
2045-11-01,2045,11,"tavg",23.9921358319068,"SSP1-2.6 (Sustainability)","Statistical"
2045-12-01,2045,12,"tavg",22.5361655207468,"SSP1-2.6 (Sustainability)","Statistical"
2046-01-01,2046,1,"tavg",23.3669117236905,"SSP1-2.6 (Sustainability)","Statistical"
2046-02-01,2046,2,"tavg",24.5557833028037,"SSP1-2.6 (Sustainability)","Statistical"
2046-03-01,2046,3,"tavg",26.00410120839,"SSP1-2.6 (Sustainability)","Statistical"
2046-04-01,2046,4,"tavg",27.3659537171528,"SSP1-2.6 (Sustainability)","Statistical"
2046-05-01,2046,5,"tavg",28.935045155724,"SSP1-2.6 (Sustainability)","Statistical"
2046-06-01,2046,6,"tavg",29.8141834977498,"SSP1-2.6 (Sustainability)","Statistical"
2046-07-01,2046,7,"tavg",28.0425052377706,"SSP1-2.6 (Sustainability)","Statistical"
2046-08-01,2046,8,"tavg",27.7886998493563,"SSP1-2.6 (Sustainability)","Statistical"
2046-09-01,2046,9,"tavg",25.8079159414599,"SSP1-2.6 (Sustainability)","Statistical"
2046-10-01,2046,10,"tavg",25.0056531324352,"SSP1-2.6 (Sustainability)","Statistical"
2046-11-01,2046,11,"tavg",23.9744653130372,"SSP1-2.6 (Sustainability)","Statistical"
2046-12-01,2046,12,"tavg",23.0435848728443,"SSP1-2.6 (Sustainability)","Statistical"
2047-01-01,2047,1,"tavg",23.4048368785484,"SSP1-2.6 (Sustainability)","Statistical"
2047-02-01,2047,2,"tavg",24.0102091701707,"SSP1-2.6 (Sustainability)","Statistical"
2047-03-01,2047,3,"tavg",25.2772168932319,"SSP1-2.6 (Sustainability)","Statistical"
2047-04-01,2047,4,"tavg",27.5053295371781,"SSP1-2.6 (Sustainability)","Statistical"
2047-05-01,2047,5,"tavg",28.6380851025434,"SSP1-2.6 (Sustainability)","Statistical"
2047-06-01,2047,6,"tavg",29.1176800011601,"SSP1-2.6 (Sustainability)","Statistical"
2047-07-01,2047,7,"tavg",28.5419964430771,"SSP1-2.6 (Sustainability)","Statistical"
2047-08-01,2047,8,"tavg",27.4456038708791,"SSP1-2.6 (Sustainability)","Statistical"
2047-09-01,2047,9,"tavg",26.1692454637315,"SSP1-2.6 (Sustainability)","Statistical"
